,,avg down time per resource,aircraft,total down time,registration number,downs,total tail down time,avg tail down time,downed,upped,duration,downed reason,squawk,comments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,6/14/2024 14:26,10/24/2024 9:50,3163:24:00,downed by ETA,Propeller,bent prop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,4/18/2024 13:28,4/18/2024 17:44,4:16,Inspection,,#2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,5/10/2024 8:57,5/10/2024 11:40,2:43,Squawk,Other,Airspeed indicator malf.
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,6/8/2024 12:16,6/10/2024 14:10,49:54:00,downed by ETA,Other,Instructor talked to maintenance
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,5/31/2024 10:57,6/6/2024 10:16,143:19:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,6/12/2024 14:03,6/12/2024 14:36,0:33,downed by ETA,Airframe,Flap overspeed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,5/11/2024 15:54,5/15/2024 15:49,95:55:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,5/22/2024 13:18,5/22/2024 15:18,2:00,downed by ETA,Engine,low idle rpm
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,10/28/2024 12:37,10/28/2024 14:33,1:56,downed by ETA,Avionics,radio panel dark
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU32 N48TG,19,4486:27:00,236:08:00,10/24/2024 14:01,10/25/2024 10:55,20:54,downed by ETA,Scheduled Mx,Adjustments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,1/11/2024 12:16,4/18/2024 11:46,2351:30:00,Squawk,,Eval
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,6/14/2024 18:45,6/15/2024 8:34,13:49,downed by ETA,Other,right hand wheel fairing sagging
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,5/21/2024 7:37,5/22/2024 17:10,33:33:00,Inspection,,#2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,5/31/2024 18:42,6/3/2024 10:03,63:21:00,downed by ETA,Engine,Cyl 4 EGT abnormal
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,6/4/2024 16:33,6/6/2024 10:12,41:39:00,downed by ETA,Engine,bad mag drop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,6/13/2024 8:20,6/13/2024 13:46,5:26,Inspection,,#4
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,6/19/2024 16:50,,7745:35:00,Squawk,Airframe Damage,CAPS deployment
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,4/26/2024 6:59,4/26/2024 7:42,0:43,Squawk,,altinator
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU33 N154WF,9,10271:38:00,1141:18:00,6/18/2024 14:53,6/19/2024 6:55,16:02,downed by ETA,Engine,mag running rough
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,1/4/2024 11:40,1/4/2024 15:21,3:41,downed by ETA,Avionics,alt 2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,2/20/2024 7:17,2/20/2024 10:24,3:07,Squawk,,Dead Batt
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,2/21/2024 7:25,2/21/2024 8:43,1:18,Squawk,,low batt
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,3/28/2024 10:56,4/1/2024 13:56,99:00:00,downed by ETA,50 Hr Inspect,50 Hr Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,3/12/2024 22:31,3/13/2024 11:39,13:08,Squawk,Engine,egt temp 1300 to 1700 number 1
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,2/5/2024 15:40,2/6/2024 15:32,23:52,downed by ETA,50 Hr Inspect,down for hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,4/1/2024 15:08,4/2/2024 8:23,17:15,Inspection,,#5
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,4/8/2024 12:22,4/9/2024 12:04,23:42,downed by ETA,Engine,right magneto failure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,2/6/2024 15:40,2/7/2024 10:56,19:16,Inspection,,#4 phase insp due
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,2/23/2024 7:20,2/27/2024 10:37,99:17:00,Inspection,,#2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,3/13/2024 17:51,3/15/2024 11:38,41:47:00,downed by ETA,Avionics,electrical discharge
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,5/14/2024 21:38,5/15/2024 8:13,10:35,downed by ETA,Airframe,Fuel leaking out of right main sump
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,7/19/2024 9:10,7/19/2024 11:23,2:13,downed by ETA,Engine,Engine roughness
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,6/10/2024 11:08,6/12/2024 9:04,45:56:00,Inspection,,411/413
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,4/22/2024 8:28,4/22/2024 11:46,3:18,downed by ETA,Engine,Hot mag
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,5/6/2024 10:58,5/6/2024 14:17,3:19,downed by ETA,Other,Adjustments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,5/17/2024 14:04,5/20/2024 10:55,68:51:00,Inspection,,#1
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,8/12/2024 20:05,8/13/2024 11:03,14:58,downed by ETA,Airframe,flap overspeed warning when flaps retracted
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,8/14/2024 11:01,8/19/2024 15:39,124:38:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,4/24/2024 6:47,4/25/2024 8:31,25:44:00,Inspection,,#2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,5/2/2024 10:47,5/6/2024 6:59,92:12:00,downed by ETA,Engine,Engine roughness
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,6/4/2024 15:00,6/10/2024 10:43,139:43:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,6/26/2024 11:28,6/28/2024 11:32,48:04:00,downed by ETA,50 Hr Inspect,Time out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,7/22/2024 22:55,7/24/2024 17:30,42:35:00,downed by ETA,50 Hr Inspect,Out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,4/18/2024 17:03,4/19/2024 9:35,16:32,downed by ETA,Other,Oil leaking
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,8/8/2024 11:17,8/9/2024 10:40,23:23,downed by ETA,Engine,Right mag died on runup
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,8/9/2024 14:10,8/12/2024 10:25,68:15:00,downed by ETA,Engine,right magneto
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,8/28/2024 11:36,8/29/2024 6:30,18:54,downed by ETA,Propeller,prop adjustment
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,9/16/2024 18:16,9/23/2024 6:57,156:41:00,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,10/8/2024 21:24,10/9/2024 14:53,17:29,downed by ETA,Other,Excessive Vibration during landing and takeoff
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,10/25/2024 6:40,10/25/2024 10:39,3:59,Squawk,,flat spotted tire
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,11/2/2024 17:37,11/5/2024 17:20,71:43:00,downed by ETA,Other,ALT 1 went out in flight
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU34 N57JW,41,1787:23:00,43:36:00,8/22/2024 12:24,8/27/2024 9:19,116:55:00,downed by ETA,Engine,RPM not stable at 2500rpm on cruise power.
