,,avg down time per resource,aircraft,total down time,registration number,downs,total tail down time,avg tail down time,downed,upped,duration,downed reason,squawk,comments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,4/4/2024 11:22,4/5/2024 13:20,25:58:00,Inspection,,
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,4/8/2024 8:06,4/9/2024 13:30,29:24:00,Inspection,,Phase insp due
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,3/13/2024 22:47,3/15/2024 10:02,35:15:00,downed by ETA,Airframe,Nose wheel shimmy
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,3/16/2024 12:44,3/19/2024 14:28,73:44:00,downed by ETA,Other,Right fuel indicator on MFD flashing zero pm takeoff
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,4/10/2024 16:34,4/10/2024 18:24,1:50,downed by ETA,Engine,bad egt probe on cylinder 2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,4/22/2024 10:04,4/22/2024 13:33,3:29,downed by ETA,Propeller,Prop overspeed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,5/20/2024 11:23,5/20/2024 13:24,2:01,downed by ETA,Engine,EGT sensor not coming alive
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,6/14/2024 10:20,6/14/2024 12:07,1:47,downed by ETA,Other,flaps stuck 50%
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,7/13/2024 9:39,7/18/2024 18:13,128:34:00,downed by ETA,50 Hr Inspect,Time out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,4/15/2024 14:09,4/16/2024 10:14,20:05,downed by ETA,Engine,unusual and lacking engine performance
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,8/6/2024 10:19,8/7/2024 15:06,28:47:00,Inspection,,#2 final
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,5/4/2024 12:21,5/8/2024 13:45,97:24:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,5/13/2024 13:30,5/13/2024 17:48,4:18,downed by ETA,Engine,Alt 1 inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,5/24/2024 17:51,5/29/2024 11:16,113:25:00,downed by ETA,50 Hr Inspect,Out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,6/24/2024 16:43,6/26/2024 12:13,43:30:00,downed by ETA,Other,Cleaning
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,6/14/2024 14:02,6/18/2024 10:10,92:08:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,10/24/2024 21:59,10/29/2024 11:32,109:33:00,downed by ETA,50 Hr Inspect,time out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,9/18/2024 15:54,9/19/2024 10:58,19:04,downed by ETA,Engine,Alt 1 inop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,9/3/2024 12:10,9/5/2024 17:33,53:23:00,downed by ETA,50 Hr Inspect,Timed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,10/2/2024 10:42,10/3/2024 10:23,23:41,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,8/16/2024 9:18,8/19/2024 8:16,70:58:00,Inspection,,411/413
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,9/17/2024 8:53,9/17/2024 14:14,5:21,downed by ETA,Other,inconsistent alt 1 output
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,10/9/2024 13:07,10/9/2024 17:06,3:59,downed by ETA,Airframe,hard landing
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU39 N54SJ,26,5704:15:00,219:24:00,12/13/2024 15:39,,3498:46:00,Squawk,,stored at AZO
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,3/29/2024 14:03,3/30/2024 13:10,23:07,Inspection,,25 hour break-in oil change
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,2/7/2024 17:30,2/8/2024 8:18,14:48,downed by ETA,Engine,left mag dropped by 170
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,2/12/2024 10:32,2/16/2024 8:44,94:12:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,4/9/2024 15:34,4/11/2024 11:44,44:10:00,downed by ETA,50 Hr Inspect,Down for time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,2/5/2024 10:49,2/6/2024 10:56,24:07:00,Squawk,,
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,2/16/2024 8:44,3/11/2024 8:22,575:38:00,Inspection,,e/c + #2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,1/22/2024 6:53,1/22/2024 10:11,3:18,Squawk,,no coms with DAU
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,5/1/2024 6:57,5/2/2024 16:46,33:49:00,Inspection,,insp
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,7/13/2024 21:33,7/15/2024 11:02,37:29:00,Squawk,,incident
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,7/17/2024 23:25,7/19/2024 11:26,36:01:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,8/5/2024 6:49,8/5/2024 18:31,11:42,Inspection,,#2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,6/22/2024 11:09,6/25/2024 15:08,75:59:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,5/28/2024 16:24,5/30/2024 10:53,42:29:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,7/13/2024 10:48,7/13/2024 12:58,2:10,Squawk,Engine,EGT
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,6/25/2024 17:38,6/26/2024 12:13,18:35,Inspection,,
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,6/26/2024 20:43,6/27/2024 8:57,12:14,downed by ETA,Other,inop alt 2
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,6/27/2024 15:57,6/28/2024 7:07,15:10,downed by ETA,Engine,Low oil pressure
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,11/12/2024 14:16,11/13/2024 9:03,18:47,downed by ETA,Other,ALT 2 0amps on takeoff
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,9/10/2024 16:22,9/11/2024 6:56,14:34,downed by ETA,50 Hr Inspect,timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,9/13/2024 10:38,9/16/2024 12:52,74:14:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,10/2/2024 8:44,10/2/2024 10:25,1:41,downed by ETA,Hangar,rear headphone jacks broken
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,10/2/2024 15:10,10/3/2024 7:43,16:33,Squawk,,Hold for flight team
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,10/9/2024 18:27,10/10/2024 14:52,20:25,Squawk,Airframe,"Left door latch broken, rough engine on sgutdown"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,11/9/2024 9:31,11/9/2024 10:23,0:52,downed by ETA,Other,CFI side door won't latch
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,8/20/2024 13:32,8/22/2024 10:38,45:06:00,Inspection,,insp
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,8/30/2024 9:02,9/3/2024 13:06,100:04:00,downed by ETA,Engine,alt 2 fail
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,9/19/2024 7:07,9/19/2024 7:30,0:23,Squawk,,LH rear position light
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,9/27/2024 8:44,9/27/2024 18:06,9:22,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,10/15/2024 11:40,10/17/2024 7:48,44:08:00,Squawk,Engine,high fuel flow on takeoff multiple times
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,10/23/2024 9:42,10/24/2024 10:03,24:21:00,downed by ETA,50 Hr Inspect,time out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,11/25/2024 7:32,11/26/2024 11:58,28:26:00,Inspection,,#3 and Mags
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU40 N861SH,32,1537:06:00,48:02:00,12/13/2024 11:27,12/16/2024 12:39,73:12:00,downed by ETA,Other,alt 2 showing 0
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,1/8/2024 8:07,1/9/2024 11:37,27:30:00,Inspection,,#2 + mags
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,3/2/2024 14:55,3/4/2024 10:45,43:50:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,3/21/2024 11:51,3/25/2024 15:39,99:48:00,downed by ETA,Aircraft Malfunc,Flap Issue
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,2/9/2024 15:11,2/10/2024 11:25,20:14,Squawk,Other,mag drop fail on runup
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,4/1/2024 12:19,4/1/2024 15:15,2:56,downed by ETA,Engine,left mag completely out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,2/19/2024 12:44,2/21/2024 16:12,51:28:00,Inspection,,#5 Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,2/27/2024 17:16,2/28/2024 16:13,22:57,Inspection,,411/413
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,4/6/2024 14:01,5/8/2024 9:23,763:22:00,downed by ETA,50 Hr Inspect,Hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,1/9/2024 11:43,1/9/2024 11:46,0:03,Squawk,,paper
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,2/2/2024 21:56,2/3/2024 11:28,13:32,Squawk,Avionics,"Low ALT 2, Right IFD Froze (was able to be reset in flight)"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,2/5/2024 12:20,2/5/2024 15:36,3:16,downed by ETA,Other,brake issues - overheating
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,3/28/2024 13:22,3/29/2024 10:11,20:49,downed by ETA,Avionics,Inadvertent auto pilot engagement
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,1/9/2024 11:46,1/19/2024 9:18,237:32:00,Inspection,,Preflight in paint booth
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,2/12/2024 8:23,2/12/2024 10:53,2:30,downed by ETA,Engine,Bad left mag
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,2/19/2024 7:54,2/19/2024 8:35,0:41,downed by ETA,Airframe,flaps
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,3/13/2024 12:50,3/14/2024 14:19,25:29:00,downed by ETA,50 Hr Inspect,hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,5/18/2024 17:43,5/24/2024 10:58,137:15:00,downed by ETA,Engine,"high rpm warning, low oil pressure, High CHT"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,6/11/2024 14:48,6/12/2024 14:21,23:33,downed by ETA,Annual Inspect,Right PTT broken
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,6/20/2024 21:09,6/27/2024 12:54,159:45:00,downed by ETA,Other,Boost pump inop?
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,7/11/2024 19:21,7/15/2024 18:21,95:00:00,downed by ETA,50 Hr Inspect,Out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,6/4/2024 20:08,6/5/2024 7:03,10:55,downed by ETA,Other,cant do XC under 5 hours
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,6/7/2024 6:47,6/7/2024 15:05,8:18,Inspection,,#1 
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,7/31/2024 17:10,8/2/2024 11:58,42:48:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,5/15/2024 15:25,5/16/2024 8:32,17:07,Squawk,Engine,"Low oil pressure, engine ""humming,"" roughness"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,6/29/2024 17:22,7/1/2024 9:24,40:02:00,downed by ETA,Aircraft Malfunc,IP door latch not working
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,7/8/2024 10:27,7/10/2024 8:05,45:38:00,downed by ETA,Other,Right Mag died while doing runup
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,6/14/2024 12:05,6/14/2024 16:37,4:32,downed by ETA,Engine,Large Mag Drop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,9/5/2024 18:40,9/9/2024 10:14,87:34:00,downed by ETA,Engine,prop overspeed multi times during flight
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,9/25/2024 20:56,9/27/2024 14:01,41:05:00,downed by ETA,50 Hr Inspect,Timed out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,10/4/2024 8:53,10/4/2024 12:18,3:25,downed by ETA,Other,Flat spot on right main
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,11/4/2024 9:33,11/4/2024 18:29,8:56,Inspection,,?
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,11/8/2024 10:00,11/8/2024 16:11,6:11,downed by ETA,Other,left fuel tank indicator not working
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,11/9/2024 10:40,11/12/2024 14:35,75:55:00,downed by ETA,Other,"Left fuel tank basically full, tank indicating empty"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,8/21/2024 15:40,8/22/2024 12:36,20:56,Inspection,,#2 Inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,8/26/2024 8:03,8/26/2024 9:03,1:00,Squawk,,Wingtip paint
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,8/26/2024 13:17,8/27/2024 10:08,20:51,Squawk,Engine,eg6 showing 1000
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,9/23/2024 22:51,9/24/2024 14:31,15:40,downed by ETA,Other,birdstrike
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,9/17/2024 11:53,9/17/2024 12:58,1:05,downed by ETA,Airframe,flaps overspeed
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,9/12/2024 6:48,9/12/2024 13:39,6:51,Inspection,,#4
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,10/10/2024 18:23,10/14/2024 18:18,95:55:00,downed by ETA,50 Hr Inspect,time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,12/4/2024 15:02,1/28/2025 8:36,1313:34:00,Squawk,,RH Wing damage from hangar debris
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,11/27/2024 14:25,12/3/2024 9:25,139:00:00,downed by ETA,Other,alt 1 fail
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU41 N267DS,43,3774:33:00,87:47:00,11/26/2024 17:52,11/27/2024 9:37,15:45,downed by ETA,Other,rudder
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,1/16/2024 16:23,1/17/2024 9:59,17:36,Squawk,,Would not start
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,2/16/2024 10:46,2/16/2024 12:45,1:59,Squawk,,oil on belly
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,2/21/2024 15:58,2/23/2024 8:25,40:27:00,downed by ETA,50 Hr Inspect,Down for inspection
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,3/13/2024 15:17,3/14/2024 9:09,17:52,downed by ETA,Aircraft Malfunc,Nose wheel shimmy
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,2/15/2024 13:17,2/16/2024 6:45,17:28,Squawk,,NLG spindle cup broken
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,3/21/2024 9:41,3/21/2024 14:05,4:24,Inspection,,#3
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,4/8/2024 6:37,4/11/2024 14:31,79:54:00,Squawk,,oil on belly
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,1/4/2024 13:01,1/5/2024 13:54,24:53:00,downed by ETA,50 Hr Inspect,Timed Out
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,1/20/2024 15:23,1/21/2024 12:20,20:57,downed by ETA,Engine,Huge mag drop
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,2/5/2024 9:41,2/6/2024 16:26,30:45:00,downed by ETA,Avionics,full adhars 2 failure on takeoff
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,3/21/2024 19:35,3/25/2024 8:20,84:45:00,downed by ETA,Other,Burning smell when activating boost pump
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,4/1/2024 13:06,4/2/2024 9:08,20:02,downed by ETA,Engine,oil pressure and random spikes in throttle
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,2/7/2024 22:00,2/8/2024 10:03,12:03,Squawk,,No traffic alerts.  TCAS switching to standby.
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,2/19/2024 9:44,2/19/2024 11:03,1:19,downed by ETA,Avionics,High Batt discharge during flight
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,5/17/2024 21:12,5/21/2024 12:54,87:42:00,downed by ETA,50 Hr Inspect,out of time
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,5/21/2024 12:54,5/23/2024 16:30,51:36:00,Inspection,,e/c
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,5/14/2024 19:45,5/15/2024 10:06,14:21,downed by ETA,Engine,left 210 drop miss fire
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,4/15/2024 8:17,4/15/2024 9:25,1:08,downed by ETA,Avionics,System page blanked
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,5/10/2024 13:31,5/10/2024 14:48,1:17,downed by ETA,Engine,more than a 200 drop on left mag check
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,4/15/2024 13:03,4/15/2024 14:46,1:43,downed by ETA,Engine,magnetos out of limits
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,5/10/2024 18:03,5/13/2024 12:24,66:21:00,downed by ETA,Engine,"Engine roughness after t/o, very high CHT"
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,5/14/2024 10:09,5/14/2024 13:35,3:26,downed by ETA,Other,Adjustments
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,5/21/2024 12:54,12/10/2024 9:03,4868:09:00,Inspection,,Engine Change
01 January 2024 to 31 December 2024,Total Down Time:,267:33:00,SR-20,241062:35:00,WMU42 N94RS,26,6135:52:00,236:00:00,4/25/2024 14:07,4/26/2024 15:24,25:17:00,Inspection,,#2 Inspection
